,region_texture,region,region_volume
83,ctx-rh-postcentral,rh-postcentral,rh_postcentral_volume
84,ctx-rh-posteriorcingulate,rh-posteriorcingulate,rh_posteriorcingulate_volume
85,ctx-rh-precentral,rh-precentral,rh_precentral_volume
86,ctx-rh-precuneus,rh-precuneus,rh_precuneus_volume
87,ctx-rh-rostralanteriorcingulate,rh-rostralanteriorcingulate,rh_rostralanteriorcingulate_volume
88,ctx-rh-rostralmiddlefrontal,rh-rostralmiddlefrontal,rh_rostralmiddlefrontal_volume
89,ctx-rh-superiorfrontal,rh-superiorfrontal,rh_superiorfrontal_volume
90,ctx-rh-superiorparietal,rh-superiorparietal,rh_superiorparietal_volume
91,ctx-rh-superiortemporal,rh-superiortemporal,rh_superiortemporal_volume
92,ctx-rh-supramarginal,rh-supramarginal,rh_supramarginal_volume
93,ctx-rh-transversetemporal,rh-transversetemporal,rh_transversetemporal_volume
94,ctx-rh-insula,rh-insula,rh_insula_volume
